Venue,Total Matches,Loss,Tie,Win,Runs Scored,Wkts Fallen,Runs Conceded,Wkts Taken,Umps,Oppos,Ovrs Bat,Ovrs Bowl,Bat Ave,Bowl Ave,Percentage Played
Clapham Common oval,82,79,,3,9542,495,17441,340,7,36,1528.2,1613.1,19.28,51.30,45.8
Barnes Oval - Brook (SW13 9SA),22,21,,1,2836,118,4932,92,6,12,398.2,437.4,24.03,53.61,12.3
Tooting Common Oval (SW17 8JU),19,19,,,2370,104,4512,84,8,15,339,373,22.79,53.71,10.6
